,AAPL,MSFT,NVDA
2002-06-19,89.48699807623726,90.52611655041363,29.71537131527496
2002-06-20,89.44171798552551,90.53592154266232,29.715282909254555
2002-06-21,89.39663858988932,90.54566197844387,29.71521533932425
2002-06-22,89.351765728984,90.55533706760893,29.715169384942662
2002-06-23,89.30710524246487,90.56494602000815,29.715145825568406
2002-06-24,89.26266296998719,90.5744880454922,29.715145440660105
2002-06-25,89.2184447512063,90.58396235391169,29.71516900967637
2002-06-26,89.1744564257775,90.59336815511729,29.715217312075822
2002-06-27,89.1307038333561,90.60270465895967,29.715291127317073
2002-06-28,89.08719281359735,90.61197107528945,29.71539123485875
2002-06-29,89.04392920615665,90.62116661395729,29.71551841415946
2002-06-30,89.00091885068925,90.63029048481383,29.71567344467783
2002-07-01,88.95816758685044,90.63934189770971,29.715857105872473
2002-07-02,88.91568125429555,90.64832006249564,29.716070177202003
2002-07-03,88.87346569267987,90.6572241890222,29.716313438125045
2002-07-04,88.83152674165872,90.66605348714006,29.71658766810021
2002-07-05,88.78987024088741,90.6748071666999,29.716893646586122
2002-07-06,88.74850203002123,90.68348443755232,29.717232153041387
2002-07-07,88.70742794871548,90.69208450954802,29.71760396692463
2002-07-08,88.66665383662549,90.70060659253762,29.718009867694473
2002-07-09,88.62618553340653,90.70904989637175,29.718450634809525
2002-07-10,88.58602887871393,90.7174136309011,29.718927047728407
2002-07-11,88.54618971220299,90.72569700597631,29.719439885909736
2002-07-12,88.50667387352901,90.733899231448,29.719989928812133
2002-07-13,88.4674872023473,90.74201951716688,29.720577955894207
2002-07-14,88.42863553831315,90.75005707298352,29.721204746614585
2002-07-15,88.39012472108189,90.75801110874863,29.721871080431875
2002-07-16,88.35196059030882,90.76588083431284,29.722577736804702
2002-07-17,88.31414898564921,90.7736654595268,29.72332549519168
2002-07-18,88.27669574675842,90.78136419424116,29.72411513505143
2002-07-19,88.2396067132917,90.78897624830655,29.72494743584257
2002-07-20,88.20288772490441,90.79650083157367,29.725823177023702
2002-07-21,88.1665446212518,90.80393715389312,29.72674313805346
2002-07-22,88.13058324198921,90.81128442511556,29.727708098390462
2002-07-23,88.09500942677195,90.81854185509165,29.728718837493318
2002-07-24,88.05982901525529,90.82570865367205,29.72977613482065
2002-07-25,88.02504784709457,90.83278403070737,29.730880769831064
2002-07-26,87.99067176194508,90.8397671960483,29.732033521983194
2002-07-27,87.95670659946208,90.84665735954549,29.733235170735647
2002-07-28,87.92315819930097,90.85345373104957,29.734486495547046
2002-07-29,87.890032401117,90.86015552041117,29.735788275876004
2002-07-30,87.85733504456547,90.86676193748096,29.73714129118114
2002-07-31,87.82507196930169,90.87327219210962,29.73854632092107
2002-08-01,87.79324901498097,90.87968549414775,29.740004144554415
2002-08-02,87.76187202125863,90.88600105344604,29.74151554153979
2002-08-03,87.73094682778994,90.89221807985511,29.743081291335816
2002-08-04,87.70047927423022,90.89833578322562,29.744702173401098
2002-08-05,87.67047520023479,90.90435337340823,29.74637896719427
2002-08-06,87.64094044545892,90.91027006025357,29.74811245217394
2002-08-07,87.61188084955798,90.91608505361229,29.74990340779873
2002-08-08,87.5833022521872,90.92179756333508,29.75175261352726
2002-08-09,87.55521049300192,90.92740679927252,29.753660848818136
2002-08-10,87.52761141165745,90.93291197127532,29.755628893129973
2002-08-11,87.50050359390497,90.93831233371566,29.75765858779817
2002-08-12,87.47369338400708,90.9436086968817,29.75977910111453
2002-08-13,87.44709116474226,90.94880221450263,29.762002243885014
2002-08-14,87.42069543955542,90.95389365172854,29.764326597287983
2002-08-15,87.39450471189146,90.95888377370945,29.76675074250179
2002-08-16,87.36851748519535,90.9637733455954,29.7692732607048
2002-08-17,87.34273226291207,90.96856313253645,29.771892733075358
2002-08-18,87.3171475484865,90.97325389968263,29.77460774079183
2002-08-19,87.29176184536362,90.977846412184,29.77741686503257
2002-08-20,87.26657365698834,90.98234143519058,29.780318686975935
2002-08-21,87.24158148680563,90.98673973385243,29.783311787800272
2002-08-22,87.21678383826041,90.99104207331959,29.786394748683957
2002-08-23,87.19217921479762,90.99524921874209,29.789566150805335
2002-08-24,87.16776611986222,90.99936193527,29.792824575342767
2002-08-25,87.14354305689912,91.00338098805338,29.796168603474605
2002-08-26,87.1195085293533,91.00730714224221,29.79959681637921
2002-08-27,87.09566104066967,91.01114116298658,29.80310779523494
2002-08-28,87.07199909429319,91.01488381543653,29.80670012122015
2002-08-29,87.04852119366878,91.01853586474209,29.810372375513193
2002-08-30,87.02522584224141,91.0220980760533,29.814123139292434
2002-08-31,87.00211154345598,91.02557121452024,29.817950993736222
2002-09-01,86.97917680075747,91.02895604529293,29.821854520022917
2002-09-02,86.95642011759081,91.03225333352138,29.825832299330873
